well,elapsed,buildup,buildup(m)
PMW-14,"3,789.00",0.87581204,0.266934483
PMW-14,"3,809.00",0.87056269,0.26533456
PMW-14,"3,829.00",0.87679629,0.267234468
PMW-14,"3,849.00",0.87728842,0.267384462
PMW-14,"3,869.00",0.87778054,0.267534453
PMW-14,"3,889.00",0.88319393,0.269184374
PMW-14,"3,909.00",0.88368605,0.269334365
PMW-14,"3,929.00",0.88991965,0.271234273
PMW-14,"3,949.00",0.89041178,0.271384267
PMW-14,"3,969.00",0.8909039,0.271534258
PMW-14,"3,989.00",0.8971375,0.273434166
PMW-14,"4,009.00",0.8972742,0.273475831
PMW-14,"4,029.00",0.89721952,0.273459165
PMW-14,"4,049.00",0.89716484,0.273442499
PMW-14,"4,069.00",0.9085931,0.276925663
PMW-14,"4,089.00",0.90853842,0.276908997
PMW-14,"4,109.00",0.90274227,0.275142417
PMW-14,"4,129.00",0.90268759,0.275125751
PMW-14,"4,149.00",0.90263291,0.275109086
PMW-14,"4,169.00",0.90257822,0.275092417
PMW-14,"4,189.00",0.91892774,0.280075507
PMW-14,"4,209.00",0.91887306,0.280058842
PMW-14,"4,229.00",0.91389712,0.278542249
PMW-14,"4,249.00",0.91384244,0.278525584
PMW-14,"4,269.00",0.91870902,0.280008845
PMW-14,"4,289.00",0.91865434,0.279992179
PMW-14,"4,309.00",0.92469655,0.281833755
PMW-14,"4,329.00",0.92518868,0.281983749
PMW-14,"4,349.00",0.93142228,0.283883657
PMW-14,"4,369.00",0.9319144,0.284033648
PMW-14,"4,389.00",0.93240653,0.284183642
PMW-14,"4,409.00",0.93289865,0.284333633
PMW-14,"4,429.00",0.93913225,0.286233542
PMW-14,"4,449.00",0.93962438,0.286383536
PMW-14,"4,469.00",0.93437503,0.284783612
PMW-14,"4,489.00",0.94060863,0.28668352
PMW-14,"4,509.00",0.94684222,0.288583426
PMW-14,"4,529.00",0.94733435,0.28873342
PMW-14,"4,549.00",0.94782648,0.288883414
PMW-14,"4,569.00",0.95406007,0.290783319
PMW-14,"4,589.00",0.94881073,0.289183398
PMW-14,"4,609.00",0.94356138,0.287583475
PMW-14,"4,629.00",0.95553645,0.291233298
PMW-14,"4,649.00",0.95602858,0.291383292
PMW-14,"4,669.00",0.96144196,0.293033209
PMW-14,"4,689.00",0.96193409,0.293183203
PMW-14,"4,709.00",0.96242621,0.293333194
PMW-14,"4,729.00",0.96865981,0.295233103
PMW-14,"4,749.00",0.96915194,0.295383097
PMW-14,"4,769.00",0.97538553,0.297283002
PMW-14,"4,789.00",0.97013619,0.295683081
PMW-14,"4,809.00",0.97636978,0.297582987
PMW-14,"4,829.00",0.98260338,0.299482895
PMW-14,"4,849.00",0.98309551,0.299632889
PMW-14,"4,869.00",0.98358763,0.29978288
PMW-14,"4,889.00",0.98407976,0.299932874
PMW-14,"4,909.00",0.99027781,0.301821948
PMW-14,"4,929.00",0.98497379,0.300205361
PMW-14,"4,949.00",0.99689417,0.303838516
PMW-14,"4,969.00",0.99733162,0.303971844
PMW-14,"4,989.00",0.99202759,0.302355254
PMW-14,"5,009.00",0.99246504,0.302488583
PMW-14,"5,029.00",0.99290248,0.302621908
PMW-14,"5,049.00",0.9990814,0.304505151
PMW-14,"5,069.00",0.99951884,0.304638476
PMW-14,"5,089.00",1.01061902,0.308021646
PMW-14,"5,109.00",1.005315,0.306405059
PMW-14,"5,129.00",1.00575244,0.306538385
PMW-14,"5,149.00",1.00618989,0.306671713
PMW-14,"5,169.00",1.00170607,0.305305111
PMW-14,"5,189.00",1.00706478,0.306938366
PMW-14,"5,209.00",1.00197674,0.305387607
PMW-14,"5,229.00",1.00148461,0.305237614
PMW-14,"5,249.00",1.00591375,0.30658755
PMW-14,"5,269.00",1.00050036,0.304937629
PMW-14,"5,289.00",1.0049295,0.306287565
PMW-14,"5,309.00",1.00443737,0.306137571
PMW-14,"5,329.00",1.00394524,0.305987577
PMW-14,"5,349.00",1.00919459,0.307587501
PMW-14,"5,369.00",1.00870246,0.307437507
PMW-14,"5,389.00",1.01395181,0.309037431
PMW-14,"5,409.00",1.00771821,0.307137522
PW-1,0,0,0
PW-1,18,0,0
PW-1,38,0,0
PW-1,58,0,0
PW-1,78,0,0
PW-1,98,0.00000547,1.67E-06
PW-1,118,0.00006015,1.83E-05
PW-1,138,-0.00562664,-0.001714916
PW-1,158,0.00016951,5.17E-05
PW-1,178,0.00022419,6.83E-05
PW-1,198,0.00602034,0.00183491
PW-1,218,-0.00540792,-0.001648254
PW-1,238,0.00038823,0.000118327
PW-1,258,0.00044291,0.000134992
PW-1,278,0.0004976,0.000151661
PW-1,298,0.00629375,0.001918241
PW-1,318,0.00060696,0.000184992
PW-1,338,0.00066164,0.000201658
PW-1,358,0.00071632,0.000218324
PW-1,378,0.00651247,0.001984904
PW-1,398,0.00656168,0.001999902
PW-1,418,0.00656168,0.001999902
PW-1,438,0.00656168,0.001999902
PW-1,458,0.01230315,0.003749817
PW-1,478,0.00656168,0.001999902
PW-1,498,0.00656168,0.001999902
PW-1,518,0.00656168,0.001999902
PW-1,538,0.00656168,0.001999902
PW-1,558,0.00656168,0.001999902
PW-1,578,0.00656168,0.001999902
PW-1,598,0.00656168,0.001999902
PW-1,618,0.00656168,0.001999902
PW-1,638,0.01230315,0.003749817
PW-1,658,0.01230315,0.003749817
PW-1,678,0.01230315,0.003749817
PW-1,698,0.02000219,0.00609637
PW-1,718,0.02043963,0.006229695
PW-1,738,0.02087708,0.006363023
PW-1,758,0.01365923,0.00416313
PW-1,778,0.02175197,0.006629677
PW-1,798,0.02218942,0.006763005
PW-1,818,0.02262686,0.00689633
PW-1,838,0.02306431,0.007029659
PW-1,858,0.02350175,0.007162984
PW-1,878,0.02968067,0.009046227
PW-1,898,0.03011811,0.009179552
PW-1,918,0.03055556,0.00931288
PW-1,938,0.030993,0.009446205
PW-1,958,0.03717192,0.011329448
PW-1,978,0.03760936,0.011462774
PW-1,998,0.04369532,0.013317684
PW-1,"1,018.00",0.03746173,0.011417778
PW-1,"1,038.00",0.04271107,0.013017699
PW-1,"1,058.00",0.03647747,0.01111779
PW-1,"1,078.00",0.04172682,0.012717714
PW-1,"1,098.00",0.04123469,0.01256772
PW-1,"1,118.00",0.04074257,0.012417729
PW-1,"1,138.00",0.04025044,0.012267735
PW-1,"1,158.00",0.04549978,0.013867656
PW-1,"1,178.00",0.04500766,0.013717665
PW-1,"1,198.00",0.04451553,0.013567671
PW-1,"1,218.00",0.04402341,0.013417681
PW-1,"1,238.00",0.05118657,0.015600905
PW-1,"1,258.00",0.05069445,0.015450914
